song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,85,22,37,13,0,7,30
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,67,29,47,5,0,22,26
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,75,45,63,6,0,35,12
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,77,36,63,1,0,36,5
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,67,78,85,2,0,33,5
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,79,68,79,1,0,10,8
Levitating,Dua Lipa,1,2020,3,27,9833,0,69,90,88,5,0,29,8
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,70,92,83,1,0,7,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,80,92,80,4,0,10,3
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,81,68,63,17,0,10,22
Antes de Perderte,Duki,1,2022,6,2,584,8,81,61,93,49,0,12,11
GIVENCHY,Duki,1,2022,7,20,625,4,61,38,62,14,0,23,40
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,77,72,87,17,0,7,5
Arcade,Duncan Laurence,1,2019,3,7,6646,0,45,27,33,82,0,14,4
Perfect,Ed Sheeran,1,2017,1,1,16596,13,60,17,45,16,0,11,2
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,83,93,65,58,0,9,8
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,78,39,53,30,0,11,6
Curtains,Ed Sheeran,1,2023,5,5,715,0,50,44,76,10,0,32,5
Shivers,Ed Sheeran,1,2021,9,9,10147,30,79,82,86,28,0,4,9
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,81,59,90,5,0,36,3
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,78,58,45,47,0,18,3
Photograph,Ed Sheeran,1,2014,6,20,18778,3,61,20,38,61,0,10,5
Celestial,Ed Sheeran,1,2022,9,29,1639,0,57,50,85,5,0,16,4
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,59,60,94,24,0,10,4
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,96,71,42,57,0,8,9
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,89,59,64,5,0,19,7
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,53,31,31,92,0,28,3
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,53,75,69,7,0,17,3
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,70,77,48,37,0,12,5
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,67,49,77,11,0,19,11
Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,74,61,52,30,0,26,9
